2023-07-13 20:46:36.563358 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.563569 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.563968 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.564152 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 144
2023-07-13 20:46:36.564154 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.564382 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 288
2023-07-13 20:46:36.564559 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.564822 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 280
2023-07-13 20:46:36.565028 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.565229 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.566014 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.566985 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 208
2023-07-13 20:46:36.567183 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.567293 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 200
2023-07-13 20:46:36.568083 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 136
2023-07-13 20:46:36.568262 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.568429 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 144
2023-07-13 20:46:36.568677 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 184
2023-07-13 20:46:36.568799 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 144
2023-07-13 20:46:36.568839 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.570573 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 304
2023-07-13 20:46:36.570656 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 376
2023-07-13 20:46:36.570864 IP 10.10.1.3.4242 > 10.10.1.2.4242: UDP, length 84
2023-07-13 20:46:36.570956 IP 10.10.1.2.4242 > 10.10.1.3.4242: UDP, length 200
